,,,MRTA UNDERGROUND STRUCTURE-SOUTH,,,,,Location: SILOM STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Contractor: JV BCKT,,,,,Type of Instrument & No.,,,IN-3-DS-5 (A) Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Construction Office: B,,,,,Readout No.: DATAMATE,,,S/N:11248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Subcontractor: LEO JOVIAN,,,,,Date:,12/31/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Base Date:  13/03/99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deflection,,,,,,,,,,,,Elevation (m),12/11/1999,12/13/1999,12/17/1999,12/21/1999,12/24/1999,12/28/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.00,0.59,,,,,,,,,,,,43.50,0.65,0.96,1.38,0.68,0.61,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.50,0.29,,,,,,,,,,,,44.00,0.57,0.89,1.27,0.61,0.46,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.00,0.06,,,,,,,,,,,,44.50,0.62,0.93,1.31,0.65,0.40,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.50,-0.08,,,,,,,,,,,,45.00,0.87,1.16,1.48,0.86,0.49,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.00,-0.05,,,,,,,,,,,,45.50,0.49,0.77,1.07,0.47,0.06,-0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.50,-0.56,,,,,,,,,,,,46.00,0.47,0.71,1.05,0.39,-0.08,-0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.00,-0.68,,,,,,,,,,,,46.50,0.76,1.01,1.45,0.69,0.16,-0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.50,-0.34,,,,,,,,,,,,47.00,0.72,0.94,1.36,0.98,0.68,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.00,0.20,,,,Max disp:,,,29.96,mm At,0.00,M  Depth,,47.50,1.03,1.23,1.51,1.39,1.27,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.50,0.85,,,,Min disp: ,,,-0.68,mm At,46.00,M  Depth,,48.00,1.30,1.41,1.63,1.49,1.43,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.00,1.03,,,,Max dif. with previous reading:,,,29.96,mm At,0.00,M  Depth,,48.50,2.10,2.21,2.55,2.37,2.07,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.50,1.83,,,,Min dif. with previous reading: ,,,-0.76,mm At,18.50,M  Depth,,49.00,1.78,1.91,2.27,1.77,1.41,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.00,1.11,,,,,,,,,,,,49.50,1.21,1.43,1.71,1.21,0.75,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.50,0.59,,,,,,,,,,,,50.00,0.36,0.45,0.93,0.51,-0.09,-0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.00,-0.29,,,,,,,,,,,,50.50,1.23,1.35,1.71,1.31,0.97,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.50,0.75,,,,,,,,,,,,51.00,0.25,0.36,0.52,0.18,0.10,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.00,-0.08,,,,,,,,,,,,51.50,1.00,1.14,1.26,0.92,0.68,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.50,0.44,,,,,,,,,,,,52.00,0.01,0.09,0.11,-0.17,-0.35,-0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.00,-0.57,,,,,,,,,,,,52.50,0.43,0.52,0.40,0.20,-0.18,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.50,-0.24,,,,,,,,,,,,53.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.00,0.00,,,,Max disp:,,,29.96,mm At,0.00,M  Depth,,53.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Min disp: ,,,-0.68,mm At,46.00,M  Depth,,54.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Max dif. with previous reading:,,,29.96,mm At,0.00,M  Depth,,54.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Min dif. with previous reading: ,,,-0.76,mm At,18.50,M  Depth,,55.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,55.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,56.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
